"css-u1nut8 href","css-17p3j9b src","thumbnail-logo href","thumbnail-logo src","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/4hIlxb90lLU","","","","‏370,000 ‏₪","3,300 מ""ר","","","בניין, המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/hxif08enF4e","","","","‏5,000 ‏₪","7 חד׳","קומת קרקע","170 מ""ר","דירת גן, מסריק 2, המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/fwpol6ewQdT","","","","‏35,000 ‏₪","6 חד׳","קומת קרקע","250 מ""ר","בית פרטי, כרמיה , המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/9ZNBuP80am3","","","","‏8,000 ‏₪","3.5 חד׳","קומה 2","80 מ""ר","דירה, יהושע בן נון 35, קטמון א-ו",""
"https://www.madlan.co.il/listings/99GQ4L19K8P","","","","‏10,500 ‏₪","4 חד׳","קומה 1","85 מ""ר","דירה, יהושע בן נון 31, קטמון א-ו",""
"https://www.madlan.co.il/listings/A60ji5STkls","","","","‏20,000 ‏₪","5 חד׳","קומה 1","130 מ""ר","דופלקס, אלרואי 9, קטמון הישנה","בבלעדיות"
"https://www.madlan.co.il/listings/nbMWs2yqyqj","","","","‏8,500 ‏₪","3.5 חד׳","קומת קרקע","69 מ""ר","דירה, הפלמ""ח 12, קרית שמואל","תיווך"
"https://www.madlan.co.il/listings/IyFIdXqwTFf","","","","‏10,500 ‏₪","5 חד׳","קומה 1","100 מ""ר","דירה, נפתלי 23, בקעה",""
"https://www.madlan.co.il/listings/cyji0hiDlzp","","","","‏7,900 ‏₪","4.5 חד׳","קומה 3","90 מ""ר","דירה, נפתלי 14, בקעה",""
"https://www.madlan.co.il/listings/3i2qGFc8ECy","","","","‏10,000 ‏₪","2.5 חד׳","קומה 1","80 מ""ר","דירה, דרך בית לחם , בקעה","תיווך"
"https://www.madlan.co.il/listings/ObCsLzHcxYP","","","","‏30,000 ‏₪","6 חד׳","קומת קרקע","250 מ""ר","בית פרטי, דרך בית לחם 21, בקעה","תיווך"
"https://www.madlan.co.il/listings/VCVMKeOTt4d","","","","‏6,500 ‏₪","2 חד׳","קומה 2","36 מ""ר","יחידת דיור, זרובבל 5, בקעה",""
"https://www.madlan.co.il/listings/VXMxOpeMstq","","","","‏8,500 ‏₪","3.5 חד׳","קומה 5","80 מ""ר","דירה, גדעון 15, בקעה",""
"https://www.madlan.co.il/listings/DCalxPJfam8","","","","‏49,500 ‏₪","6 חד׳","קומה 1","270 מ""ר","דירה, דובנוב 1, טלביה","תיווך"
"https://www.madlan.co.il/listings/mrFGp4a2bkZ","","","","‏25,500 ‏₪","4 חד׳","קומת קרקע","175 מ""ר","דירה, הפלמ""ח 1, קטמון הישנה",""
